InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
537030,22586,FELTCRAFT HAIRBAND PINK AND BLUE,12,12/3/10 16:44,0.85,16455,Portugal
537030,22566,FELTCRAFT HAIRBAND PINK AND PURPLE,12,12/3/10 16:44,0.85,16455,Portugal
537059,22837,HOT WATER BOTTLE BABUSHKA ,1,12/5/10 11:54,4.65,14813,United Kingdom
537059,22754,SMALL RED BABUSHKA NOTEBOOK ,1,12/5/10 11:54,0.85,14813,United Kingdom
537059,22633,HAND WARMER UNION JACK,2,12/5/10 11:54,2.1,14813,United Kingdom
537067,17091J,VANILLA INCENSE IN TIN,1,12/5/10 11:57,1.25,14813,United Kingdom
537067,22654,DELUXE SEWING KIT ,1,12/5/10 11:57,5.95,14813,United Kingdom
537065,22892,SET OF SALT AND PEPPER TOADSTOOLS,12,12/5/10 11:57,1.25,12567,France
537065,21774,DECORATIVE CATS BATHROOM BOTTLE,12,12/5/10 11:57,1.25,12567,France
537065,21556,CERAMIC STRAWBERRY MONEY BOX,6,12/5/10 11:57,2.55,12567,France
537065,21439,BASKET OF TOADSTOOLS,12,12/5/10 11:57,1.25,12567,France
537077,22795,SWEETHEART RECIPE BOOK STAND,2,12/5/10 11:59,6.75,17062,United Kingdom
537077,22696,WICKER WREATH LARGE,6,12/5/10 11:59,1.95,17062,United Kingdom
537081,22551,PLASTERS IN TIN SPACEBOY,12,12/5/10 12:00,1.65,15332,Lithuania
537081,22409,MONEY BOX BISCUITS DESIGN,12,12/5/10 12:00,1.25,15332,Lithuania
537081,20686,DOLLY MIXTURE CHILDREN'S UMBRELLA,6,12/5/10 12:00,3.25,15332,Lithuania
537111,22557,PLASTERS IN TIN VINTAGE PAISLEY ,5,12/5/10 12:08,1.65,14810,United Kingdom
537127,21733,RED HANGING HEART T-LIGHT HOLDER,32,12/5/10 12:13,2.55,13831,United Kingdom
537128,84898F,YELLOW FLOWERS FELT HANDBAG KIT,1,12/5/10 12:15,2.1,12841,United Kingdom
537130,84378,SET OF 3 HEART COOKIE CUTTERS,2,12/5/10 12:23,1.25,17796,Denmark
537130,22960,JAM MAKING SET WITH JARS,1,12/5/10 12:23,4.25,17796,Denmark
537130,22926,IVORY GIANT GARDEN THERMOMETER,2,12/5/10 12:23,5.95,17796,Denmark
537130,21479,WHITE SKULL HOT WATER BOTTLE ,2,12/5/10 12:23,3.75,17796,Denmark
537131,22572,ROCKING HORSE GREEN CHRISTMAS ,96,12/5/10 12:26,0.72,15716,United Kingdom
537131,22470,HEART OF WICKER LARGE,5,12/5/10 12:26,2.95,15716,United Kingdom
537131,22173,METAL 4 HOOK HANGER FRENCH CHATEAU,2,12/5/10 12:26,2.95,15716,United Kingdom
537131,22114,HOT WATER BOTTLE TEA AND SYMPATHY,2,12/5/10 12:26,3.95,15716,United Kingdom
537131,21294,ETCHED GLASS COASTER,48,12/5/10 12:26,1.25,15716,United Kingdom
537131,21034,REX CASH+CARRY JUMBO SHOPPER,2,12/5/10 12:26,0.95,15716,United Kingdom
537134,21034,REX CASH+CARRY JUMBO SHOPPER,1,12/5/10 12:34,0.95,16983,United Kingdom
537135,85049G,CHOCOLATE BOX RIBBONS ,1,12/5/10 12:35,1.25,17059,United Kingdom
537135,85049B,LUSH GREENS RIBBONS,2,12/5/10 12:35,1.25,17059,United Kingdom
537135,84032B,CHARLIE + LOLA RED HOT WATER BOTTLE,3,12/5/10 12:35,2.95,17059,United Kingdom
537135,22158,3 HEARTS HANGING DECORATION RUSTIC,8,12/5/10 12:35,2.95,17059,United Kingdom
537135,21481,FAWN BLUE HOT WATER BOTTLE,2,12/5/10 12:35,2.95,17059,United Kingdom
537201,85049F,BABY BOOM RIBBONS ,12,12/5/10 14:19,1.25,12472,Germany
537201,22975,SPACEBOY CHILDRENS EGG CUP,12,12/5/10 14:19,1.25,12472,Germany
537201,22898,CHILDRENS APRON APPLES DESIGN,8,12/5/10 14:19,1.95,12472,Germany
537201,22573,STAR WOODEN CHRISTMAS DECORATION,12,12/5/10 14:19,0.85,12472,Germany
537201,21914,BLUE HARMONICA IN BOX ,24,12/5/10 14:19,1.25,12472,Germany
537201,21817,GLITTER CHRISTMAS TREE,12,12/5/10 14:19,0.85,12472,Germany
537202,85099F,JUMBO BAG STRAWBERRY,1,12/5/10 14:25,1.95,14506,United Kingdom
537202,48184,DOORMAT ENGLISH ROSE ,1,12/5/10 14:25,7.95,14506,United Kingdom
537202,48111,DOORMAT 3 SMILEY CATS,1,12/5/10 14:25,7.95,14506,United Kingdom
537202,22750,FELTCRAFT PRINCESS LOLA DOLL,1,12/5/10 14:25,3.75,14506,United Kingdom
537202,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,2,12/5/10 14:25,3.75,14506,United Kingdom
537202,22507,MEMO BOARD RETROSPOT  DESIGN,4,12/5/10 14:25,4.95,14506,United Kingdom
537202,22147,FELTCRAFT BUTTERFLY HEARTS,2,12/5/10 14:25,1.45,14506,United Kingdom
537202,21695,SMALL SILVER FLOWER CANDLE POT,6,12/5/10 14:25,2.95,14506,United Kingdom
537204,21824,PAINTED METAL STAR WITH HOLLY BELLS,10,12/5/10 14:45,1.45,15555,United Kingdom
537204,21817,GLITTER CHRISTMAS TREE,6,12/5/10 14:45,0.85,15555,United Kingdom
537208,90082B,DIAMANTE BOW BROOCH RED COLOUR,1,12/5/10 15:12,6.35,15889,United Kingdom
537208,82600,NO SINGING METAL SIGN,2,12/5/10 15:12,2.1,15889,United Kingdom
537208,48187,DOORMAT NEW ENGLAND,1,12/5/10 15:12,7.95,15889,United Kingdom
537208,22665,RECIPE BOX BLUE SKETCHBOOK DESIGN,1,12/5/10 15:12,2.95,15889,United Kingdom
537208,22467,GUMBALL COAT RACK,1,12/5/10 15:12,2.55,15889,United Kingdom
537208,21311,SET/4 BIRD MIRROR MAGNETS ,1,12/5/10 15:12,2.1,15889,United Kingdom
537208,20767,BLUE PAISLEY JOURNAL ,1,12/5/10 15:12,2.55,15889,United Kingdom
537209,22570,FELTCRAFT CUSHION RABBIT,1,12/5/10 15:12,3.75,14606,United Kingdom
537209,22474,SPACEBOY TV DINNER TRAY,1,12/5/10 15:12,4.95,14606,United Kingdom
537209,21056,DOCTOR'S BAG SOFT TOY,1,12/5/10 15:12,8.95,14606,United Kingdom
537209,21042,RED RETROSPOT APRON ,2,12/5/10 15:12,5.95,14606,United Kingdom
537211,22667,RECIPE BOX RETROSPOT ,6,12/5/10 15:18,2.95,16143,United Kingdom
537212,22625,RED KITCHEN SCALES,2,12/5/10 15:21,8.5,12720,Germany
537213,85215,ASSORTED CHEESE FRIDGE MAGNETS,1,12/5/10 15:26,0.65,12748,United Kingdom
537213,20961,STRAWBERRY BATH SPONGE ,1,12/5/10 15:26,1.25,12748,United Kingdom
537214,21122,SET/10 PINK POLKADOT PARTY CANDLES,288,12/5/10 15:35,1.06,16422,United Kingdom
537214,21121,SET/10 RED POLKADOT PARTY CANDLES,288,12/5/10 15:35,1.06,16422,United Kingdom
537215,84879,ASSORTED COLOUR BIRD ORNAMENT,16,12/5/10 15:38,1.69,12747,United Kingdom
537216,47566B,TEA TIME PARTY BUNTING,8,12/5/10 15:40,4.65,15502,United Kingdom
537216,82484,WOOD BLACK BOARD ANT WHITE FINISH,10,12/5/10 15:40,6.45,15502,United Kingdom
537216,22198,LARGE POPCORN HOLDER ,30,12/5/10 15:40,1.65,15502,United Kingdom
537219,22619,SET OF 6 SOLDIER SKITTLES,3,12/5/10 15:47,3.75,14081,United Kingdom
537219,22618,COOKING SET RETROSPOT,1,12/5/10 15:47,9.95,14081,United Kingdom
537219,22617,BAKING SET SPACEBOY DESIGN,2,12/5/10 15:47,4.95,14081,United Kingdom
537219,21843,RED RETROSPOT CAKE STAND,2,12/5/10 15:47,10.95,14081,United Kingdom
537219,21531,RED RETROSPOT SUGAR JAM BOWL,1,12/5/10 15:47,2.55,14081,United Kingdom
537222,22372,AIRLINE BAG VINTAGE WORLD CHAMPION ,1,12/5/10 16:00,4.25,14404,United Kingdom
537222,22278,OVERNIGHT BAG VINTAGE ROSE PAISLEY,1,12/5/10 16:00,4.95,14404,United Kingdom
537222,21640,ASSORTED TUTTI FRUTTI  FOB NOTEBOOK,1,12/5/10 16:00,0.85,14404,United Kingdom
537223,22141,CHRISTMAS CRAFT TREE TOP ANGEL,6,12/5/10 16:10,2.1,13579,United Kingdom
537224,84531B,BLUE KNITTED EGG COSY,1,12/5/10 16:24,1.95,13174,United Kingdom
537224,85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,6,12/5/10 16:24,7.95,13174,United Kingdom
537224,84950,ASSORTED COLOUR T-LIGHT HOLDER,12,12/5/10 16:24,0.65,13174,United Kingdom
537224,35971,ROSE FOLKART HEART DECORATIONS,3,12/5/10 16:24,1.25,13174,United Kingdom
537224,22943,CHRISTMAS LIGHTS 10 VINTAGE BAUBLES,2,12/5/10 16:24,4.95,13174,United Kingdom
537224,22863,SOAP DISH BROCANTE,1,12/5/10 16:24,2.95,13174,United Kingdom
537224,22833,HALL CABINET WITH 3 DRAWERS,1,12/5/10 16:24,49.95,13174,United Kingdom
537224,22637,PIGGY BANK RETROSPOT ,4,12/5/10 16:24,2.55,13174,United Kingdom
537224,22405,MONEY BOX POCKET MONEY DESIGN,6,12/5/10 16:24,1.25,13174,United Kingdom
537224,22141,CHRISTMAS CRAFT TREE TOP ANGEL,1,12/5/10 16:24,2.1,13174,United Kingdom
537224,21900,"KEY FOB , SHED",3,12/5/10 16:24,0.65,13174,United Kingdom
537224,21807,WHITE CHRISTMAS STAR DECORATION,4,12/5/10 16:24,0.42,13174,United Kingdom
537224,21791,VINTAGE HEADS AND TAILS CARD GAME ,3,12/5/10 16:24,1.25,13174,United Kingdom
537225,22949,36 DOILIES DOLLY GIRL,2,12/5/10 16:41,1.45,12748,United Kingdom
537225,22927,GREEN GIANT GARDEN THERMOMETER,1,12/5/10 16:41,5.95,12748,United Kingdom
537225,22430,ENAMEL WATERING CAN CREAM,2,12/5/10 16:41,4.95,12748,United Kingdom
537225,21976,PACK OF 60 MUSHROOM CAKE CASES,48,12/5/10 16:41,0.55,12748,United Kingdom
537226,22705,WRAP GREEN PEARS ,25,12/6/10 8:34,0.42,15987,United Kingdom
537227,22193,RED DINER WALL CLOCK,2,12/6/10 8:42,8.5,17677,United Kingdom
537231,22867,HAND WARMER BIRD DESIGN,12,12/6/10 9:21,2.1,13652,United Kingdom
537231,22835,HOT WATER BOTTLE I AM SO POORLY,4,12/6/10 9:21,4.65,13652,United Kingdom
537231,21914,BLUE HARMONICA IN BOX ,12,12/6/10 9:21,1.25,13652,United Kingdom
537235,21889,WOODEN BOX OF DOMINOES,216,12/6/10 9:45,1.06,17381,United Kingdom
537236,85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,4,12/6/10 9:52,7.95,16858,United Kingdom
537238,22280,POCKET BAG PINK PAISELY BROWN SPOT,3,12/6/10 10:03,1.25,16161,United Kingdom
537241,22867,HAND WARMER BIRD DESIGN,12,12/6/10 10:18,2.1,14293,United Kingdom
537241,22632,HAND WARMER RED RETROSPOT,12,12/6/10 10:18,2.1,14293,United Kingdom
537244,22716,CARD CIRCUS PARADE,12,12/6/10 10:20,0.42,17674,United Kingdom
537244,22029,SPACEBOY BIRTHDAY CARD,12,12/6/10 10:20,0.42,17674,United Kingdom
537246,20728,LUNCH BAG CARS BLUE,10,12/6/10 10:27,1.65,12808,Portugal
537250,22082,RIBBON REEL STRIPES DESIGN ,10,12/6/10 10:43,1.65,12708,Germany
537254,22983,CARD BILLBOARD FONT,12,12/6/10 11:01,0.42,15898,United Kingdom
537254,22578,WOODEN STAR CHRISTMAS SCANDINAVIAN,1,12/6/10 11:01,0.85,15898,United Kingdom
537254,22570,FELTCRAFT CUSHION RABBIT,3,12/6/10 11:01,3.75,15898,United Kingdom
537255,22374,AIRLINE BAG VINTAGE JET SET RED,4,12/6/10 11:03,4.25,14443,United Kingdom
537255,21479,WHITE SKULL HOT WATER BOTTLE ,4,12/6/10 11:03,3.75,14443,United Kingdom
537257,21114,LAVENDER SCENTED FABRIC HEART,10,12/6/10 11:10,1.25,17691,United Kingdom
537257,20749,ASSORTED COLOUR MINI CASES,2,12/6/10 11:10,7.95,17691,United Kingdom
537258,22907,PACK OF 20 NAPKINS PANTRY DESIGN,2,12/6/10 11:16,0.85,17227,United Kingdom
537262,85099B,JUMBO BAG RED RETROSPOT,10,12/6/10 11:26,1.95,15039,United Kingdom
537262,84406B,CREAM CUPID HEARTS COAT HANGER,1,12/6/10 11:26,3.25,15039,United Kingdom
537262,82486,WOOD S/3 CABINET ANT WHITE FINISH,2,12/6/10 11:26,7.95,15039,United Kingdom
537262,48188,DOORMAT WELCOME PUPPIES,1,12/6/10 11:26,7.95,15039,United Kingdom
537262,22645,CERAMIC HEART FAIRY CAKE MONEY BANK,1,12/6/10 11:26,1.45,15039,United Kingdom
537262,22114,HOT WATER BOTTLE TEA AND SYMPATHY,1,12/6/10 11:26,3.95,15039,United Kingdom
537262,22109,FULL ENGLISH BREAKFAST PLATE,1,12/6/10 11:26,3.75,15039,United Kingdom
537265,21506,"FANCY FONT BIRTHDAY CARD, ",12,12/6/10 11:26,0.42,15919,United Kingdom
537265,21499,BLUE POLKADOT WRAP,25,12/6/10 11:26,0.42,15919,United Kingdom
537265,21039,RED RETROSPOT SHOPPING BAG,1,12/6/10 11:26,2.55,15919,United Kingdom
537298,21349,IVY HEART WREATH,4,12/6/10 11:37,6.75,13497,United Kingdom
537301,22752,SET 7 BABUSHKA NESTING BOXES,2,12/6/10 11:38,8.5,15860,United Kingdom
537301,22450,SILK PURSE BABUSHKA BLUE,2,12/6/10 11:38,3.35,15860,United Kingdom
537332,85123A,WHITE HANGING HEART T-LIGHT HOLDER,24,12/6/10 11:58,2.95,14344,United Kingdom
537332,84836,ZINC METAL HEART DECORATION,12,12/6/10 11:58,1.25,14344,United Kingdom
537334,85135C,RED DRAGONFLY HELICOPTER,1,12/6/10 12:06,7.95,16719,United Kingdom
537334,84029E,RED WOOLLY HOTTIE WHITE HEART.,3,12/6/10 12:06,3.75,16719,United Kingdom
537334,16169N,WRAP BLUE RUSSIAN FOLKART,25,12/6/10 12:06,0.42,16719,United Kingdom
537334,22726,ALARM CLOCK BAKELIKE GREEN,2,12/6/10 12:06,3.75,16719,United Kingdom
537334,22192,BLUE DINER WALL CLOCK,1,12/6/10 12:06,8.5,16719,United Kingdom
537334,22175,PINK OWL SOFT TOY,2,12/6/10 12:06,2.95,16719,United Kingdom
537334,20769,DAISY JOURNAL ,3,12/6/10 12:06,2.55,16719,United Kingdom
537335,47480,HANGING PHOTO CLIP ROPE LADDER,1,12/6/10 12:15,1.65,15048,United Kingdom
537346,22810,SET OF 6 T-LIGHTS SNOWMEN,12,12/6/10 12:21,2.95,15301,United Kingdom
537346,22733,3D TRADITIONAL CHRISTMAS STICKERS,18,12/6/10 12:21,1.25,15301,United Kingdom
537346,21803,CHRISTMAS TREE STAR DECORATION,36,12/6/10 12:21,0.42,15301,United Kingdom
537346,21366,MIRRORED WALL ART PHOTO FRAMES,3,12/6/10 12:21,4.25,15301,United Kingdom
537346,21352,EUCALYPTUS & PINECONE  WREATH,4,12/6/10 12:21,6.75,15301,United Kingdom
537351,40016,CHINESE DRAGON PAPER LANTERNS,24,12/6/10 12:23,0.42,16898,United Kingdom
537354,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,4,12/6/10 12:23,2.55,12748,United Kingdom
537354,22563,HAPPY STENCIL CRAFT,1,12/6/10 12:23,1.25,12748,United Kingdom
537354,22562,MONSTERS STENCIL CRAFT,1,12/6/10 12:23,1.25,12748,United Kingdom
537354,22348,TEA BAG PLATE RED RETROSPOT,1,12/6/10 12:23,0.85,12748,United Kingdom
537359,22835,HOT WATER BOTTLE I AM SO POORLY,4,12/6/10 12:30,4.65,14825,United Kingdom
537359,22080,RIBBON REEL POLKADOTS ,10,12/6/10 12:30,1.65,14825,United Kingdom
537362,72351B,SET/6 PINK  BUTTERFLY T-LIGHTS,1,12/6/10 12:34,2.1,17596,United Kingdom
537362,48173C,DOORMAT BLACK FLOCK ,1,12/6/10 12:34,7.95,17596,United Kingdom
537362,84050,PINK HEART SHAPE EGG FRYING PAN,1,12/6/10 12:34,1.65,17596,United Kingdom
537362,22866,HAND WARMER SCOTTY DOG DESIGN,2,12/6/10 12:34,2.1,17596,United Kingdom
537362,22614,PACK OF 12 SPACEBOY TISSUES,1,12/6/10 12:34,0.29,17596,United Kingdom
537362,22556,PLASTERS IN TIN CIRCUS PARADE ,1,12/6/10 12:34,1.65,17596,United Kingdom
537362,22556,PLASTERS IN TIN CIRCUS PARADE ,2,12/6/10 12:34,1.65,17596,United Kingdom
537362,22419,LIPSTICK PEN RED,6,12/6/10 12:34,0.42,17596,United Kingdom
537362,21955,DOORMAT UNION JACK GUNS AND ROSES,1,12/6/10 12:34,7.95,17596,United Kingdom
537362,20975,12 PENCILS SMALL TUBE RED RETROSPOT,48,12/6/10 12:34,0.65,17596,United Kingdom
537366,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,5,12/6/10 12:39,3.75,14085,United Kingdom
537368,22210,WOOD STAMP SET BEST WISHES,12,12/6/10 12:40,1.65,14911,EIRE
537368,20750,RED RETROSPOT MINI CASES,4,12/6/10 12:40,7.95,14911,EIRE
537369,22719,GUMBALL MONOCHROME COAT RACK,1,12/6/10 12:41,1.25,17860,United Kingdom
537369,22646,CERAMIC STRAWBERRY CAKE MONEY BANK,4,12/6/10 12:41,1.45,17860,United Kingdom
537369,21931,JUMBO STORAGE BAG SUKI,1,12/6/10 12:41,1.95,17860,United Kingdom
537370,85185D,FROG SOCK PUPPET,1,12/6/10 12:44,2.95,13155,United Kingdom
537370,22549,PICTURE DOMINOES,1,12/6/10 12:44,1.45,13155,United Kingdom
537370,22318,FIVE HEART HANGING DECORATION,2,12/6/10 12:44,2.95,13155,United Kingdom
537370,21506,"FANCY FONT BIRTHDAY CARD, ",12,12/6/10 12:44,0.42,13155,United Kingdom
537371,22358,KINGS CHOICE TEA CADDY ,2,12/6/10 12:47,2.95,15028,United Kingdom
537372,48187,DOORMAT NEW ENGLAND,4,12/6/10 12:52,7.95,16919,United Kingdom
537372,48185,DOORMAT FAIRY CAKE,1,12/6/10 12:52,7.95,16919,United Kingdom
537372,21818,GLITTER CHRISTMAS HEART ,4,12/6/10 12:52,0.85,16919,United Kingdom
537374,85169A,IVORY LOVE BIRD CANDLE,1,12/6/10 12:55,1.25,17259,United Kingdom
537374,85049A,TRADITIONAL CHRISTMAS RIBBONS,3,12/6/10 12:55,1.25,17259,United Kingdom
537374,85178,VICTORIAN SEWING KIT,2,12/6/10 12:55,1.25,17259,United Kingdom
537374,22977,DOLLY GIRL CHILDRENS EGG CUP,1,12/6/10 12:55,1.25,17259,United Kingdom
537374,22758,LARGE PURPLE BABUSHKA NOTEBOOK  ,1,12/6/10 12:55,1.25,17259,United Kingdom
537374,22704,WRAP RED APPLES ,25,12/6/10 12:55,0.42,17259,United Kingdom
537374,22350,ILLUSTRATED CAT BOWL ,1,12/6/10 12:55,2.55,17259,United Kingdom
537374,21827,EIGHT PIECE CREEPY CRAWLIE SET,1,12/6/10 12:55,1.25,17259,United Kingdom
537374,21191,LARGE WHITE HONEYCOMB PAPER BELL  ,3,12/6/10 12:55,2.1,17259,United Kingdom
537375,22551,PLASTERS IN TIN SPACEBOY,6,12/6/10 12:55,1.65,17019,United Kingdom
537375,21982,PACK OF 12 SUKI TISSUES ,6,12/6/10 12:55,0.29,17019,United Kingdom
537376,16156S,WRAP PINK FAIRY CAKES ,25,12/6/10 12:59,0.42,16722,United Kingdom
537376,22570,FELTCRAFT CUSHION RABBIT,24,12/6/10 12:59,3.39,16722,United Kingdom
537376,22045,SPACEBOY GIFT WRAP,25,12/6/10 12:59,0.42,16722,United Kingdom
537376,21495,SKULLS AND CROSSBONES WRAP,25,12/6/10 12:59,0.42,16722,United Kingdom
537376,20970,PINK FLORAL FELTCRAFT SHOULDER BAG,4,12/6/10 12:59,3.75,16722,United Kingdom
537377,22530,MAGIC DRAWING SLATE DOLLY GIRL ,1,12/6/10 13:01,0.42,15882,United Kingdom
537378,22627,MINT KITCHEN SCALES,6,12/6/10 13:06,8.5,14911,EIRE
537381,85038,6 CHOCOLATE LOVE HEART T-LIGHTS,6,12/6/10 13:13,2.1,14667,United Kingdom
537381,22603,CHRISTMAS RETROSPOT TREE WOOD,19,12/6/10 13:13,0.85,14667,United Kingdom
537381,22576,SWALLOW WOODEN CHRISTMAS DECORATION,48,12/6/10 13:13,0.85,14667,United Kingdom
537381,22111,SCOTTIE DOG HOT WATER BOTTLE,3,12/6/10 13:13,4.95,14667,United Kingdom
537382,22843,BISCUIT TIN VINTAGE GREEN,1,12/6/10 13:13,6.75,16710,United Kingdom
537382,22728,ALARM CLOCK BAKELIKE PINK,1,12/6/10 13:13,3.75,16710,United Kingdom
537382,22295,HEART FILIGREE DOVE LARGE,1,12/6/10 13:13,1.65,16710,United Kingdom
537382,21817,GLITTER CHRISTMAS TREE,3,12/6/10 13:13,0.85,16710,United Kingdom
537382,21811,CHRISTMAS HANGING HEART WITH BELL,1,12/6/10 13:13,1.25,16710,United Kingdom
537382,21644,ASSORTED TUTTI FRUTTI HEART BOX,2,12/6/10 13:13,1.25,16710,United Kingdom
537382,21018,BIRD BOX CHRISTMAS TREE DECORATION,1,12/6/10 13:13,0.85,16710,United Kingdom
537385,84378,SET OF 3 HEART COOKIE CUTTERS,1,12/6/10 13:22,1.25,14487,United Kingdom
537388,22674,FRENCH TOILET SIGN BLUE METAL,12,12/6/10 13:35,1.25,17682,United Kingdom
537389,22865,HAND WARMER OWL DESIGN,6,12/6/10 13:41,2.1,17757,United Kingdom
537389,22812,PACK 3 BOXES CHRISTMAS PANNETONE,2,12/6/10 13:41,1.95,17757,United Kingdom
537389,21407,BROWN CHECK CAT DOORSTOP ,1,12/6/10 13:41,4.25,17757,United Kingdom
537390,21730,GLASS STAR FROSTED T-LIGHT HOLDER,14,12/6/10 13:47,4.95,16658,United Kingdom
537391,22966,GINGERBREAD MAN COOKIE CUTTER,8,12/6/10 13:53,1.25,16550,United Kingdom
537391,22352,LUNCH BOX WITH CUTLERY RETROSPOT ,6,12/6/10 13:53,2.55,16550,United Kingdom
537391,21559,STRAWBERRY LUNCH BOX WITH CUTLERY,6,12/6/10 13:53,2.55,16550,United Kingdom
537391,21558,SKULL LUNCH BOX WITH CUTLERY ,6,12/6/10 13:53,2.55,16550,United Kingdom
537391,20752,BLUE POLKADOT WASHING UP GLOVES,4,12/6/10 13:53,2.1,16550,United Kingdom
537393,84879,ASSORTED COLOUR BIRD ORNAMENT,48,12/6/10 13:59,1.69,13089,United Kingdom
537393,22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,24,12/6/10 13:59,0.85,13089,United Kingdom
537393,22835,HOT WATER BOTTLE I AM SO POORLY,24,12/6/10 13:59,4.25,13089,United Kingdom
537393,22666,RECIPE BOX PANTRY YELLOW DESIGN,24,12/6/10 13:59,2.55,13089,United Kingdom
537393,22112,CHOCOLATE HOT WATER BOTTLE,24,12/6/10 13:59,4.25,13089,United Kingdom
537395,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,12/6/10 14:05,2.95,15356,United Kingdom
537395,82551,LAUNDRY 15C METAL SIGN,1,12/6/10 14:05,1.45,15356,United Kingdom
537395,22632,HAND WARMER RED RETROSPOT,1,12/6/10 14:05,2.1,15356,United Kingdom
537395,22114,HOT WATER BOTTLE TEA AND SYMPATHY,1,12/6/10 14:05,3.95,15356,United Kingdom
537395,21733,RED HANGING HEART T-LIGHT HOLDER,2,12/6/10 14:05,2.95,15356,United Kingdom
537396,22941,CHRISTMAS LIGHTS 10 REINDEER,1,12/6/10 14:08,8.5,17223,United Kingdom
537396,22699,ROSES REGENCY TEACUP AND SAUCER ,1,12/6/10 14:08,2.95,17223,United Kingdom
537396,22075,6 RIBBONS ELEGANT CHRISTMAS ,1,12/6/10 14:08,1.65,17223,United Kingdom
537396,20829,GLITTER HANGING BUTTERFLY STRING,1,12/6/10 14:08,2.1,17223,United Kingdom
537396,20772,GARDEN PATH JOURNAL,1,12/6/10 14:08,2.55,17223,United Kingdom
537399,85183B,CHARLIE & LOLA WASTEPAPER BIN FLORA,1,12/6/10 14:31,3.75,13030,United Kingdom
537399,22952,60 CAKE CASES VINTAGE CHRISTMAS,3,12/6/10 14:31,0.55,13030,United Kingdom
537399,22524,CHILDRENS GARDEN GLOVES BLUE,1,12/6/10 14:31,1.25,13030,United Kingdom
